,Estimate,Std. Error,Lower 95% CI,Upper 95% CI,P-Value,Significant
Intercept,-14.520959459811648,2.783937644536327,-19.97737697830812,-9.064541941315177,1.828491866510557e-07,True
ln_pi_squared,0.04030663499934018,0.00427059667208645,0.03193641932955413,0.048676850669126234,3.793316028419609e-21,True
cti,2.601741765538551e-10,8.7076780108597e-10,-1.4464993524717837e-09,1.966847705579494e-09,0.7651025026293545,False
ln_distdt,0.16604796647832107,0.05246079901829766,0.06322668980226344,0.2688692431543787,0.0015498607742014,True
green_stra,0.16191458537641723,0.08182165266708993,0.0015470929933752986,0.32228207775945916,0.047830408572380266,True
x,2.4195906224527156e-05,8.153005299315299e-06,8.216309472104966e-06,4.0175502976949343e-05,0.003000091942448547,True
ln_cli_squared,0.0024657828437714994,0.0017379337631944318,-0.0009405047396057499,0.005872070427148749,0.15595692653282026,False
parking,-0.13723042058568402,0.08316805027436767,-0.3002368037878612,0.025775962616493175,0.09893522012801506,False
commercial,0.08426269095640519,0.022486647591941265,0.04018967154315598,0.1283357103696544,0.00017879652831123856,True
half_phase,-0.23296968155104034,0.08539731978347101,-0.4003453527028934,-0.0655940103991873,0.006370650515329829,True
total_lane,0.08929908738088482,0.03231480397096214,0.02596323543032711,0.15263493933144254,0.005720067524504764,True
fi,-1.1887600358927446e-05,6.558806007738921e-06,-2.4742623915680667e-05,9.674231978257746e-07,0.06991451780865203,False
north_veh,1.3158365856446851e-05,5.238453199325842e-06,2.89118625106958e-06,2.3425545461824122e-05,0.012008991430411094,True
median,-0.2714537180518275,0.0889058645805712,-0.4457060106441423,-0.09720142545951271,0.0022636124583122713,True
east_ped,-8.709298597377673e-05,4.182391930890046e-05,-0.000169066361511531,-5.11961043602248e-06,0.03730844399565818,True
lt_restric,-0.18475645531947021,0.12055795952570561,-0.42104571403949076,0.05153280340055033,0.12539627027894146,False
tot_crossw,0.0012877401285068795,0.0028735483621927732,-0.004344311169225015,0.006919791426238774,0.6540551336335583,False
all_pedest,-0.3730012423495758,0.1550552585084204,-0.6769039646396275,-0.0690985200595241,0.01614584332743751,True
tot_road_w,0.0036866699979226517,0.0038313755317294115,-0.003822688055514994,0.011196028051360298,0.33593335903374644,False
curb_exten,-0.14922652766230302,0.14984893802618812,-0.44292504931520627,0.14447199399060026,0.31932477454149444,False
cli,-6.289219397167678e-09,1.2196010501062853e-08,-3.019296073432317e-08,1.761452193998781e-08,0.6060790308097268,False
any_exclus,-0.08443351164205824,0.09517626414856312,-0.2709755615563127,0.10210853827219622,0.37501008813115966,False
lt_protect,-0.08643985799913113,0.08267597737792173,-0.248481796046506,0.07560208004824372,0.2957800752316426,False
lt_prot_re,0.027944153146113905,0.14118514047694852,-0.2487736373409334,0.30466194363316124,0.843103277212026,False
ln_fli_squared,0.005914595187461872,0.004067662905033854,-0.0020578776076540517,0.013887067982577796,0.145931766914318,False
ped_countd,-0.026300047389658025,0.07852856067843676,-0.18021319807716235,0.1276131032978463,0.7376925256275931,False
ln_fi_squared,0.0332926701894503,0.009466850830140882,0.014737983515361059,0.05184735686353954,0.0004368437385445335,True
