int_no,pred_counts,ranking
1092,19.316431072768626,1
317,17.391324304268807,2
410,15.660970341849852,3
863,15.658972551569866,4
601,14.67877286227403,5
533,14.067068402109363,6
386,13.728316162367703,7
411,12.817178906223491,8
593,12.807561504312607,9
1198,12.145879364782365,10
931,11.90699590200175,11
6044,11.18328581832809,12
517,10.923328656043696,13
421,10.773077113427702,14
428,10.28677920722638,15
904,10.04459889473969,16
1266,9.839885475245394,17
539,9.814834550326307,18
284,9.78568862191485,19
128,9.775439628328812,20
1633,9.744335654730213,21
211,9.51102854616017,22
444,9.311842549158433,23
873,9.249162690010175,24
1042,9.210442976475553,25
778,9.20238671688544,26
629,9.187380581482744,27
1046,9.127367471038147,28
1029,9.055209567701128,29
8830,8.978752476713414,30
886,8.971310200632724,31
1249,8.96911965027924,32
1104,8.85199697690564,33
1283,8.810121005327092,34
1090,8.792691581680211,35
286,8.684293464621836,36
1064,8.467700942992153,37
406,8.441387229382734,38
1685,8.380570774268879,39
47,8.228898213043438,40
8256,8.123150355827967,41
1117,8.104736084381464,42
1138,8.08875087447251,43
602,8.049586496970742,44
481,8.014625303464266,45
805,7.994836004497244,46
385,7.957200155042204,47
868,7.833084295338908,48
543,7.785845304605622,49
712,7.760555001511044,50
538,7.736861030960747,51
374,7.5121501947799105,52
1375,7.413134321131913,53
8863,7.407188420477602,54
1239,7.385477389293341,55
628,7.352347752736483,56
708,7.189227794285935,57
910,7.176181283488575,58
1043,7.144503787034017,59
2,7.0688028178964375,60
1020,7.0676450375605,61
416,7.002645356049811,62
846,6.967852538298728,63
570,6.836090053840968,64
545,6.826500811345157,65
1093,6.816631036978234,66
1278,6.756232959393956,67
872,6.685944543597068,68
1176,6.578011193098269,69
633,6.5720246307972,70
1086,6.56176967094472,71
417,6.540184707008966,72
7195,6.504005386639591,73
12703,6.459393859505155,74
1031,6.454977945286237,75
1151,6.420622976531872,76
441,6.407795689167854,77
1071,6.288385887311115,78
4481,6.2651936938530515,79
419,6.248600683279366,80
888,6.2286028723901,81
1599,6.20717299577222,82
190,6.190787075047299,83
165,6.133678839532517,84
1089,6.132548751715506,85
8845,6.085518297364209,86
1073,6.0517677218098465,87
7149,6.049966874864436,88
1101,6.049927349378106,89
152,6.009062393122962,90
16660,6.008564278299941,91
36,5.98989087683423,92
351,5.893589887882407,93
1040,5.8811315474280095,94
1052,5.838157747050724,95
572,5.708178402901695,96
1034,5.703660676048441,97
1016,5.669611894717762,98
858,5.649132376277612,99
595,5.642838448432308,100
12785,5.622074731663229,101
362,5.616342510923466,102
346,5.582399735294695,103
388,5.559327735547373,104
352,5.551578190942256,105
345,5.540767426868653,106
316,5.534217290521163,107
887,5.519056888937104,108
1189,5.517432420139635,109
160,5.507622367582424,110
1313,5.502930977182592,111
342,5.490186324093085,112
1120,5.480486147747027,113
897,5.432344340656479,114
547,5.411394296395377,115
109,5.407006042625786,116
267,5.4053074127527765,117
15748,5.402668916245678,118
1039,5.375293527805232,119
1204,5.353535430823719,120
281,5.35206987126969,121
507,5.322834240692316,122
502,5.319841021762288,123
364,5.288232856357877,124
1671,5.269483717880551,125
7201,5.241902794798566,126
1182,5.2290729805993665,127
293,5.226170132970913,128
535,5.224641903682111,129
402,5.199007698577543,130
1757,5.183081482521577,131
1058,5.177811708880123,132
10475,5.170695637759488,133
478,5.144497871446296,134
337,5.132192570844346,135
542,5.129725955542356,136
12453,5.125355036082856,137
1137,5.107507565995674,138
367,5.099091932010697,139
1520,5.0702718201524135,140
1251,5.0294279048214765,141
1168,5.003181881062428,142
648,4.987964715224983,143
221,4.97970209356212,144
1207,4.967971718372278,145
13332,4.967656911951886,146
1210,4.964883018189043,147
1047,4.919336115983664,148
540,4.90944806803421,149
882,4.89473981630503,150
884,4.894388846781505,151
1103,4.829919109546736,152
308,4.815426984427753,153
8888,4.81142577920658,154
704,4.794531871637347,155
1213,4.79367279304022,156
7,4.788914334090605,157
6207,4.785696182289478,158
1053,4.734468785888173,159
2232,4.711924189070741,160
149,4.705916843855299,161
16661,4.689481477029435,162
366,4.688514724000099,163
9028,4.6525350140098825,164
420,4.640267468763314,165
928,4.631113673800094,166
5843,4.629280872592221,167
558,4.6240656072584505,168
13288,4.616120755247288,169
347,4.6060972787936105,170
594,4.593734696531476,171
782,4.571445685804639,172
1161,4.558877820106814,173
500,4.546295538729683,174
641,4.545834527835401,175
857,4.5282505795243155,176
631,4.527650996174194,177
384,4.504418600673338,178
703,4.501627822504415,179
920,4.4968327464451505,180
699,4.467043495895623,181
218,4.450811739059937,182
422,4.448647860009329,183
938,4.425704008938771,184
497,4.421974454548653,185
6736,4.410442337225843,186
144,4.390286707476232,187
171,4.3859779336521045,188
365,4.385738622024278,189
1242,4.382185345196959,190
443,4.376330571832991,191
1282,4.368196631015596,192
1070,4.348080382688489,193
356,4.347072074797467,194
894,4.343074385400604,195
363,4.336547547055356,196
933,4.331280681132757,197
1761,4.330745945746585,198
1131,4.329978915194554,199
1281,4.315914529844229,200
9304,4.309964260816225,201
1246,4.301467787034293,202
1241,4.299340854332102,203
1707,4.28864129011457,204
298,4.2621807684799835,205
341,4.260598377993934,206
842,4.258374110804981,207
1069,4.2534894263479215,208
135,4.236718924961293,209
1139,4.226547314469619,210
461,4.225250619332618,211
885,4.219398882762623,212
101,4.217445444305432,213
425,4.211413610879269,214
9146,4.209293471752255,215
283,4.182001579249317,216
546,4.167170828872361,217
8851,4.163145029717738,218
843,4.162078851882717,219
1284,4.1580004965453545,220
588,4.155245737925496,221
527,4.147066452817802,222
668,4.143475181729415,223
642,4.131505283695727,224
110,4.128396318341027,225
164,4.128097928341221,226
923,4.12072141789929,227
371,4.091414893978522,228
53,4.0751621246482195,229
290,4.0737038789311955,230
368,4.050928034880867,231
1521,4.039202803043163,232
477,4.035575283490778,233
1088,4.019335813517917,234
1041,3.9951442966475823,235
1128,3.994847760767339,236
1165,3.9883411513070586,237
1048,3.9656560507232235,238
271,3.9645464856047927,239
1197,3.9415204693642507,240
924,3.939196893711285,241
1677,3.922155039179243,242
43,3.908360723246145,243
145,3.9079864344699753,244
915,3.9065835766853505,245
847,3.8953664022228365,246
336,3.8558639149629133,247
658,3.848813205409326,248
219,3.8474454250553918,249
797,3.845550817365097,250
1129,3.8383020656612605,251
869,3.8381109041997137,252
1524,3.831402716469349,253
266,3.8305473406501607,254
127,3.8265207845152513,255
745,3.7999740539738647,256
6823,3.798487958669429,257
1005,3.7935499663782912,258
1061,3.788126407296809,259
486,3.7661746037562573,260
16918,3.7636852079393917,261
378,3.7610503744662798,262
914,3.754087666147651,263
1022,3.737567495075357,264
1310,3.7291588574661443,265
671,3.7201730750719406,266
1588,3.6898768137214613,267
758,3.668837605975741,268
120,3.6675027262096003,269
685,3.667005641922307,270
609,3.666834952948682,271
333,3.6612406707237044,272
326,3.653062633980805,273
307,3.599095691914443,274
1208,3.5881518466417797,275
506,3.585374082065452,276
193,3.5828181898468205,277
9183,3.580625484182034,278
870,3.5782878011575114,279
838,3.5761685410767674,280
1121,3.5753521132648745,281
709,3.5345356503360885,282
1202,3.5249417788083486,283
100,3.5197017293899884,284
1030,3.511177105905136,285
414,3.5101128852452246,286
514,3.496888128315558,287
1370,3.4953246418242148,288
377,3.4940330533915223,289
1206,3.4715828771449915,290
1141,3.470825994042166,291
13,3.4643034851174694,292
1075,3.4561426959095227,293
297,3.4555420844228335,294
13291,3.4532086910552637,295
305,3.4502297817926295,296
494,3.4499210790938597,297
407,3.4458932933804727,298
13283,3.4410606568602455,299
599,3.437144955549371,300
844,3.424897790626109,301
1134,3.4199496669071285,302
1008,3.4157865489173553,303
429,3.410726011498379,304
130,3.4065443380930143,305
460,3.400915754174286,306
330,3.3857779923445555,307
549,3.3855527264561927,308
412,3.3746948942909416,309
1000,3.3679748842662964,310
427,3.3626548173382123,311
285,3.361872730488827,312
5653,3.361781695641723,313
711,3.3317896085006087,314
16042,3.327882983736542,315
445,3.3246746708716546,316
436,3.3196772132332764,317
484,3.3178850588609023,318
1055,3.31426130371248,319
142,3.313307668330375,320
1102,3.3120984549212324,321
154,3.307352509691082,322
99,3.305948658718291,323
1049,3.3048479939377087,324
76,3.303549033357249,325
1300,3.3033953329736674,326
14713,3.2861294298256847,327
912,3.2806856398632265,328
1115,3.2699020606911318,329
432,3.268707646357172,330
4852,3.2586415096793457,331
468,3.2507021121925472,332
1187,3.2472656493725314,333
8768,3.2290691768099524,334
597,3.227914252009767,335
175,3.2217125508474793,336
1269,3.2190603056871274,337
7197,3.2114420779354877,338
313,3.2059465365181135,339
1072,3.1927825327927706,340
941,3.1911701458990187,341
713,3.1730218622634245,342
1611,3.1623830261857417,343
48,3.1595826523002333,344
1245,3.1419081569214558,345
591,3.1386114258607236,346
905,3.1271289386010888,347
413,3.1258026270573347,348
1394,3.1056465251970624,349
296,3.084167700803335,350
108,3.0835782976786184,351
1541,3.062672403559947,352
2190,3.061580714325103,353
348,3.0599650723106677,354
9455,3.0594531030228893,355
299,3.041416195393795,356
158,3.0246118480994464,357
8891,3.0220866714367243,358
908,3.0194444973445567,359
1622,3.0161251945464707,360
15744,3.011931277388025,361
5914,3.0063727188904634,362
168,3.0019968084349857,363
340,3.0011173203919257,364
16283,3.0008861220017153,365
9452,2.99925077193985,366
